user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
452,50,4,192.45,5,4,4,544,Лояльные клиенты
165,132,6,192.78,5,5,4,554,Лояльные клиенты
3436,192,2,192.86,4,2,4,424,Потенциальные лоялисты
4708,73,2,192.98,5,1,4,514,Новички
4111,355,6,193.16,2,5,4,254,Нельзя потерять
2326,61,4,193.22,5,4,4,544,Лояльные клиенты
1421,380,5,193.25,1,5,4,154,Нельзя потерять
287,378,3,193.29,1,3,4,134,Обычные клиенты
1266,157,5,193.43,4,4,4,444,Лояльные клиенты
1619,396,4,193.51,1,4,4,144,Нельзя потерять
4823,447,3,193.55,1,2,4,124,Обычные клиенты
1162,215,7,193.65,4,5,4,454,Лояльные клиенты
4143,104,4,193.71,5,4,4,544,Лояльные клиенты
1705,236,4,193.99,3,3,4,334,Обычные клиенты
2330,350,5,194.06,2,5,4,254,Нельзя потерять
2010,233,7,194.11,3,5,4,354,Обычные клиенты
2186,178,5,194.26,4,4,4,444,Лояльные клиенты
550,251,5,194.31,3,5,4,354,Обычные клиенты
16,424,4,194.34,1,4,4,144,Нельзя потерять
2207,117,4,194.57,5,3,4,534,Потенциальные лоялисты
960,110,5,194.63,5,5,4,554,Лояльные клиенты
3675,55,5,194.65,5,5,4,554,Лояльные клиенты
2846,265,3,194.81,3,3,4,334,Обычные клиенты
4816,285,2,194.84,3,2,4,324,Засыпающие
167,234,4,194.89,3,3,4,334,Обычные клиенты
1540,245,3,195.02,3,3,4,334,Обычные клиенты
3129,318,6,195.02,2,5,4,254,Нельзя потерять
1986,36,5,195.11,5,5,4,554,Лояльные клиенты
2314,167,3,195.41,4,2,4,424,Потенциальные лоялисты
4729,215,5,195.47,4,5,4,454,Лояльные клиенты
1253,156,3,195.47,4,2,4,424,Потенциальные лоялисты
3274,333,5,195.77,2,4,4,244,Нельзя потерять
36,239,5,195.93,3,5,4,354,Обычные клиенты
1790,484,3,196.22,1,3,4,134,Обычные клиенты
777,329,1,196.3,2,1,4,214,Засыпающие
2136,190,3,196.32,4,3,4,434,Потенциальные лоялисты
157,259,4,196.35,3,3,4,334,Обычные клиенты
3015,62,7,196.56,5,5,4,554,Лояльные клиенты
745,63,6,196.72,5,5,4,554,Лояльные клиенты
2661,57,4,196.83,5,4,4,544,Лояльные клиенты
2357,249,5,196.9,3,5,4,354,Обычные клиенты
4866,328,6,197.0,2,5,4,254,Нельзя потерять
3757,245,4,197.33,3,3,4,334,Обычные клиенты
3543,467,3,197.45,1,2,4,124,Обычные клиенты
73,256,5,197.54,3,5,4,354,Обычные клиенты
2584,264,5,197.64,3,5,4,354,Обычные клиенты
2021,310,6,197.66,2,5,4,254,Нельзя потерять
1098,347,4,197.85,2,4,4,244,Нельзя потерять
4920,204,3,197.93,4,3,4,434,Потенциальные лоялисты
888,211,3,198.17,4,3,4,434,Потенциальные лоялисты
1220,521,3,198.31,1,3,4,134,Обычные клиенты
